"Last Name","First Name","Nat","Age","Games_Played","Goals","Assists","Salary"
"Carlson","John","USA",28,82,15,53,4e+06
"Carlsson","Gabriel","SWE",21,14,0,2,925000
"Carpenter","Ryan","USA",27,52,9,6,650000
"Carr","Daniel","CAN",26,38,6,10,725000
"Carrick","Connor","USA",23,47,4,8,850000
"Carrick","Trevor","CAN",23,1,0,0,670000
"Carrier","William","CAN",23,37,1,2,750000
"Carter","Jeff","CAN",33,27,13,9,6500000
"Catenacci","Daniel","CAN",24,1,0,0,650000
"Cave","Colby","CAN",23,3,0,0,680000
"Ceci","Cody","CAN",24,82,5,14,3350000
"Cehlarik","Peter","SVK",22,6,1,1,742500
"Chabot","Thomas","CAN",21,63,9,16,925000
"Chaput","Michael","CAN",25,9,0,0,687500
"Chara","Zdeno","SVK",40,73,7,17,4e+06
"Chiarot","Ben","CAN",26,57,2,12,1200000
"Chiasson","Alex","CAN",27,61,9,9,660000
"Chimera","Jason","CAN",38,74,3,10,2500000
"Chlapik","Filip","CZE",20,20,1,3,742500
"Chorney","Taylor","USA",30,25,1,3,825000
"Chychrun","Jakob","USA",19,50,4,10,925000
"Chytil","Filip","CZE",18,9,1,2,925000
"Cirelli","Anthony","CAN",20,18,5,6,742500
"Cizikas","Casey","CAN",26,64,7,10,3e+06
"Claesson","Fredrik","SWE",25,64,1,6,650000
"Clendening","Adam","USA",25,5,0,2,650000
"Clifford","Kyle","CAN",27,50,6,4,1700000
"Clutterbuck","Cal","CAN",30,76,8,10,5e+06
"Coburn","Braydon","CAN",32,72,1,14,3700000
"Cogliano","Andrew","CAN",30,80,12,23,3300000
"Cole","Ian","USA",28,67,5,15,2500000
"Coleman","Blake","USA",26,79,13,12,660000
"Comeau","Blake","CAN",31,79,13,21,2400000
"Compher","J.T.","USA",22,69,13,10,925000
"Conacher","Cory","CAN",28,36,8,4,650000
"Connauton","Kevin","CAN",27,73,11,10,1050000
"Connolly","Brett","CAN",25,70,15,12,1500000
"Connor","Kyle","USA",21,76,31,26,925000
"Copp","Andrew","USA",23,82,9,19,9e+05
"Corrado","Frank","CAN",24,5,0,0,650000
"Cousins","Nick","CAN",24,71,12,7,950000
"Couture","Logan","CAN",28,78,34,27,6e+06
"Couturier","Sean","CAN",25,82,31,45,4e+06
"Coyle","Charlie","USA",25,66,11,26,3500000
"Cracknell","Adam","CAN",32,5,0,0,675000
"Crescenzi","Andrew","CAN",25,2,0,0,650000
"Criscuolo","Kyle","USA",25,9,0,0,650000
"Crosby","Sidney","CAN",30,82,29,60,10900000
"Crouse","Lawson","CAN",20,11,1,0,925000
"Cullen","Matt","USA",41,79,11,11,1e+06
"Czarnik","Austin","USA",25,10,0,4,675000
"Dadonov","Evgenii","RUS",28,74,28,37,4650000
"Dahlbeck","Klas","SWE",26,33,1,4,850000
"Dahlstrom","Carl","SWE",23,11,0,3,742500
"Dal Colle","Michael","CAN",21,4,0,0,832500
