city,region,size,cover,near,spend,basketball,dog,playground,center,restroom
Toledo,Midwest,5.5,0.06,0.81,40,3.2,0.7,3.9,0.4,0.6
Houston,South,4.7,0.12,0.61,82,2.6,0.7,1.9,0.6,0.7
Jacksonville,South,5.8,0.14,0.35,66,2.4,0.5,3.5,1.3,6
Wichita,Midwest,11.3,0.05,0.54,67,1,1,2.2,0.4,2
Louisville,South,7.5,0.08,0.38,69,2.7,1.3,3.3,0.6,3.6
Winston-Salem,South,9.2,0.05,0.37,81,1.2,1.2,1.9,1.4,2.1
Garland,South,9.6,0.07,0.63,57,2.2,0,1.4,0.6,1.2
Tucson,West,5.5,0.03,0.63,53,4.9,1.4,2.7,0.8,1.8
Santa Ana,West,6,0.04,0.75,53,2.1,0,1.2,0.9,1.6
Laredo,South,4.1,0.02,0.54,59,9.4,1.5,2.6,0.8,1
Stockton,West,6,0.03,0.74,15,3.4,1,2.3,0.4,2.7
Memphis,South,10,0.05,0.46,76,2.9,0.6,1.8,0.9,0.1
Irving,South,3.2,0.05,0.64,72,1.1,1.2,3,0.8,0.2
Hialeah,South,4.4,0.02,0.69,33,5.1,0,1,1.5,2.2
Baton Rouge,South,4.2,0.03,0.54,44,8,0.8,2.6,2.9,1.2
Fresno,West,2.2,0.04,0.67,42,4.6,1.3,2.6,0.6,0.9
Lubbock,South,9.7,0.03,0.56,35,4.8,0.8,2.2,0.4,1.3
Fort Worth,South,7.7,0.06,0.61,56,1.2,0.3,2.3,0.3,0.2
Charlotte/Mecklenburg County,South,16.5,0.06,0.37,56,3.7,0.6,2.1,0.5,0.6
Mesa,West,2.8,0.04,0.66,65,2.8,0.4,1.3,0.2,0.7
Oklahoma City,South,5,0.05,0.38,57,1.7,0.3,1.6,0.7,1.1
